agent_id,empresa,tecnologia,capacidad_mw
1,Iberdrola,eolica,14163.774193548386
1,Iberdrola,hidraulica,8276.0
1,Iberdrola,nuclear,3500.0
1,Iberdrola,solar_pv,5826.79456289494
1,Iberdrola,ciclo_combinado,3900.0
2,Endesa,nuclear,3617.0
2,Endesa,hidraulica,5449.0
2,Endesa,solar_pv,4370.0959221712055
2,Endesa,eolica,2292.448312557008
2,Endesa,ciclo_combinado,7869.0
3,Naturgy,ciclo_combinado,9500.0
3,Naturgy,eolica,3515.0874125874125
3,Naturgy,hidraulica,1500.0
3,Naturgy,solar_pv,2913.39728144747
4,Repsol,ciclo_combinado,1600.0
4,Repsol,solar_pv,5244.115106605446
5,Acciona,eolica,6373.698387096774
5,Acciona,solar_pv,1774.2589444015093
6,EDP,hidraulica,1800.0
6,EDP,ciclo_combinado,1200.0
6,EDP,eolica,1416.3774193548388
7,Engie,ciclo_combinado,1200.0
7,Engie,solar_pv,437.0095922171205
7,Engie,eolica,152.82988750380053
7,Engie,hidraulica,72.0
8,Solaria,solar_pv,2415.206346319953
9,Statkraft,eolica,1528.2988750380055
9,Statkraft,solar_pv,582.679456289494
10,TotalEnergies,ciclo_combinado,981.0
10,TotalEnergies,solar_pv,173.34713824612447
11,Sonnedix,solar_pv,1835.440287311906
12,Bruc_Energy,solar_pv,1019.6890485066147
12,Bruc_Energy,eolica,409.58409851018547
13,Plenitude,solar_pv,946.8541164704277
13,Plenitude,eolica,458.48966251140166
14,Forestalia,eolica,916.9793250228033
14,Forestalia,solar_pv,320.4737009592217
15,Solarpack,solar_pv,1136.2249397645132
16,X-ELIO,solar_pv,949.7675137518752
17,BayWa,solar_pv,509.8445242533073
17,BayWa,eolica,382.07471875950137
18,Opdenergy,solar_pv,640.9474019184433
18,Opdenergy,eolica,168.1128762541806
19,Lightsource,solar_pv,582.679456289494
20,Aquila_Clean_Energy,solar_pv,364.17466018093376
20,Aquila_Clean_Energy,eolica,229.24483125570083
5,Acciona,solar_termica,921.6
2,Endesa,solar_termica,576.0
1,Iberdrola,solar_termica,460.8
3,Naturgy,solar_termica,345.6
1,Iberdrola,bombeo,1499.0
2,Endesa,bombeo,1332.0
3,Naturgy,bombeo,500.0
1,Iberdrola,bateria,10.0
2,Endesa,bateria,15.0
2,Endesa,hidroeolica,11.0
5,Acciona,biomasa,548.5
2,Endesa,biomasa,329.1
1,Iberdrola,biomasa,219.4
2,Endesa,carbon,1300.0
6,EDP,carbon,700.0
1,Iberdrola,hidrogeno_verde,25.0
1,Iberdrola,import_gas,40000
2,Endesa,import_gas,40000
3,Naturgy,import_gas,40000
4,Repsol,import_gas,40000
6,EDP,import_gas,40000
7,Engie,import_gas,40000
10,TotalEnergies,import_gas,40000
101,H2_Electrica_Synth,hidrogeno_electrico,25.0
102,Importista_Gasolina,import_gasolina,9065.41
103,Importista_Diesel,import_diesel,26601.37
104,Importista_Electricidad,import_electricidad,5000
105,Importista_Fueloleo,import_fueloleo,24568.26
106,Importista_Metanol,import_metanol,378.77
107,Fleet_Road_Light,coche_gasolina,18966.66
107,Fleet_Road_Light,coche_diesel,22920.00
107,Fleet_Road_Light,coche_electrico,86.76
108,Fleet_Road_Heavy,camion_gasolina,527.79
108,Fleet_Road_Heavy,camion_diesel,24472.05
108,Fleet_Road_Heavy,camion_electrico,2.28
108,Fleet_Road_Heavy,camion_gas,382.74
109,Fleet_Maritime,barco_fueloleo,8614.28
109,Fleet_Maritime,barco_diesel,2374.57
109,Fleet_Maritime,barco_gas,254.58
110,Industria_Amoniaco_Synth,prod_nh3_h2_verde,21.34
110,Industria_Amoniaco_Synth,prod_nh3_h2_gris,1568.00
111,Industria_Siderurgica_Synth,siderurgia_coque,1918.71
111,Industria_Siderurgica_Synth,siderurgia_electricidad,920.06
112,Industria_Cemento_Synth,cemento_carbon,2590.36
104,Importista_Electricidad,import_h2,40000
104,Importista_Electricidad,import_carbon,16301
