tecnologia,estacion,hora,factor
solar_pv,invierno,0,0.0
solar_pv,invierno,1,0.0
solar_pv,invierno,2,0.0
solar_pv,invierno,3,0.0
solar_pv,invierno,4,0.0
solar_pv,invierno,5,0.0
solar_pv,invierno,6,0.0
solar_pv,invierno,7,0.0
solar_pv,invierno,8,0.05
solar_pv,invierno,9,0.15
solar_pv,invierno,10,0.4
solar_pv,invierno,11,0.65
solar_pv,invierno,12,0.8
solar_pv,invierno,13,0.9
solar_pv,invierno,14,0.8
solar_pv,invierno,15,0.6
solar_pv,invierno,16,0.3
solar_pv,invierno,17,0.1
solar_pv,invierno,18,0.0
solar_pv,invierno,19,0.0
solar_pv,invierno,20,0.0
solar_pv,invierno,21,0.0
solar_pv,invierno,22,0.0
solar_pv,invierno,23,0.0
solar_pv,primavera,0,0.0
solar_pv,primavera,1,0.0
solar_pv,primavera,2,0.0
solar_pv,primavera,3,0.0
solar_pv,primavera,4,0.0
solar_pv,primavera,5,0.0
solar_pv,primavera,6,0.0
solar_pv,primavera,7,0.05
solar_pv,primavera,8,0.15
solar_pv,primavera,9,0.4
solar_pv,primavera,10,0.7
solar_pv,primavera,11,0.9
solar_pv,primavera,12,1.0
solar_pv,primavera,13,1.0
solar_pv,primavera,14,0.9
solar_pv,primavera,15,0.7
solar_pv,primavera,16,0.5
solar_pv,primavera,17,0.25
solar_pv,primavera,18,0.1
solar_pv,primavera,19,0.0
solar_pv,primavera,20,0.0
solar_pv,primavera,21,0.0
solar_pv,primavera,22,0.0
solar_pv,primavera,23,0.0
solar_pv,verano,0,0.0
solar_pv,verano,1,0.0
solar_pv,verano,2,0.0
solar_pv,verano,3,0.0
solar_pv,verano,4,0.0
solar_pv,verano,5,0.0
solar_pv,verano,6,0.0
solar_pv,verano,7,0.1
solar_pv,verano,8,0.25
solar_pv,verano,9,0.55
solar_pv,verano,10,0.8
solar_pv,verano,11,0.95
solar_pv,verano,12,1.0
solar_pv,verano,13,1.0
solar_pv,verano,14,0.95
solar_pv,verano,15,0.85
solar_pv,verano,16,0.65
solar_pv,verano,17,0.4
solar_pv,verano,18,0.2
solar_pv,verano,19,0.05
solar_pv,verano,20,0.0
solar_pv,verano,21,0.0
solar_pv,verano,22,0.0
solar_pv,verano,23,0.0
solar_pv,otono,0,0.0
solar_pv,otono,1,0.0
solar_pv,otono,2,0.0
solar_pv,otono,3,0.0
solar_pv,otono,4,0.0
solar_pv,otono,5,0.0
solar_pv,otono,6,0.0
solar_pv,otono,7,0.0
solar_pv,otono,8,0.05
solar_pv,otono,9,0.2
solar_pv,otono,10,0.45
solar_pv,otono,11,0.7
solar_pv,otono,12,0.85
solar_pv,otono,13,0.9
solar_pv,otono,14,0.85
solar_pv,otono,15,0.6
solar_pv,otono,16,0.35
solar_pv,otono,17,0.15
solar_pv,otono,18,0.05
solar_pv,otono,19,0.0
solar_pv,otono,20,0.0
solar_pv,otono,21,0.0
solar_pv,otono,22,0.0
solar_pv,otono,23,0.0
solar_termica,invierno,0,0.0
solar_termica,invierno,1,0.0
solar_termica,invierno,2,0.0
solar_termica,invierno,3,0.0
solar_termica,invierno,4,0.0
solar_termica,invierno,5,0.0
solar_termica,invierno,6,0.0
solar_termica,invierno,7,0.02
solar_termica,invierno,8,0.07
solar_termica,invierno,9,0.18
solar_termica,invierno,10,0.42
solar_termica,invierno,11,0.68
solar_termica,invierno,12,0.83
solar_termica,invierno,13,0.9
solar_termica,invierno,14,0.83
solar_termica,invierno,15,0.65
solar_termica,invierno,16,0.35
solar_termica,invierno,17,0.12
solar_termica,invierno,18,0.03
solar_termica,invierno,19,0.0
solar_termica,invierno,20,0.0
solar_termica,invierno,21,0.0
solar_termica,invierno,22,0.0
solar_termica,invierno,23,0.0
solar_termica,primavera,0,0.0
solar_termica,primavera,1,0.0
solar_termica,primavera,2,0.0
solar_termica,primavera,3,0.0
solar_termica,primavera,4,0.0
solar_termica,primavera,5,0.0
solar_termica,primavera,6,0.0
solar_termica,primavera,7,0.03
solar_termica,primavera,8,0.1
solar_termica,primavera,9,0.3
solar_termica,primavera,10,0.65
solar_termica,primavera,11,0.85
solar_termica,primavera,12,0.95
solar_termica,primavera,13,1.0
solar_termica,primavera,14,0.95
solar_termica,primavera,15,0.75
solar_termica,primavera,16,0.55
solar_termica,primavera,17,0.3
solar_termica,primavera,18,0.15
solar_termica,primavera,19,0.05
solar_termica,primavera,20,0.0
solar_termica,primavera,21,0.0
solar_termica,primavera,22,0.0
solar_termica,primavera,23,0.0
solar_termica,verano,0,0.0
solar_termica,verano,1,0.0
solar_termica,verano,2,0.0
solar_termica,verano,3,0.0
solar_termica,verano,4,0.0
solar_termica,verano,5,0.0
solar_termica,verano,6,0.02
solar_termica,verano,7,0.12
solar_termica,verano,8,0.3
solar_termica,verano,9,0.6
solar_termica,verano,10,0.85
solar_termica,verano,11,0.97
solar_termica,verano,12,1.0
solar_termica,verano,13,1.0
solar_termica,verano,14,0.97
solar_termica,verano,15,0.9
solar_termica,verano,16,0.7
solar_termica,verano,17,0.45
solar_termica,verano,18,0.25
solar_termica,verano,19,0.1
solar_termica,verano,20,0.02
solar_termica,verano,21,0.0
solar_termica,verano,22,0.0
solar_termica,verano,23,0.0
solar_termica,otono,0,0.0
solar_termica,otono,1,0.0
solar_termica,otono,2,0.0
solar_termica,otono,3,0.0
solar_termica,otono,4,0.0
solar_termica,otono,5,0.0
solar_termica,otono,6,0.0
solar_termica,otono,7,0.02
solar_termica,otono,8,0.07
solar_termica,otono,9,0.25
solar_termica,otono,10,0.5
solar_termica,otono,11,0.72
solar_termica,otono,12,0.87
solar_termica,otono,13,0.9
solar_termica,otono,14,0.87
solar_termica,otono,15,0.65
solar_termica,otono,16,0.4
solar_termica,otono,17,0.18
solar_termica,otono,18,0.07
solar_termica,otono,19,0.02
solar_termica,otono,20,0.0
solar_termica,otono,21,0.0
solar_termica,otono,22,0.0
solar_termica,otono,23,0.0
hidraulica,invierno,0,0.26
hidraulica,invierno,1,0.26
hidraulica,invierno,2,0.26
hidraulica,invierno,3,0.26
hidraulica,invierno,4,0.26
hidraulica,invierno,5,0.26
hidraulica,invierno,6,0.26
hidraulica,invierno,7,0.26
hidraulica,invierno,8,0.26
hidraulica,invierno,9,0.26
hidraulica,invierno,10,0.26
hidraulica,invierno,11,0.26
hidraulica,invierno,12,0.26
hidraulica,invierno,13,0.26
hidraulica,invierno,14,0.26
hidraulica,invierno,15,0.26
hidraulica,invierno,16,0.26
hidraulica,invierno,17,0.26
hidraulica,invierno,18,0.26
hidraulica,invierno,19,0.26
hidraulica,invierno,20,0.26
hidraulica,invierno,21,0.26
hidraulica,invierno,22,0.26
hidraulica,invierno,23,0.26
hidraulica,primavera,0,0.26
hidraulica,primavera,1,0.26
hidraulica,primavera,2,0.26
hidraulica,primavera,3,0.26
hidraulica,primavera,4,0.26
hidraulica,primavera,5,0.26
hidraulica,primavera,6,0.26
hidraulica,primavera,7,0.26
hidraulica,primavera,8,0.26
hidraulica,primavera,9,0.26
hidraulica,primavera,10,0.26
hidraulica,primavera,11,0.26
hidraulica,primavera,12,0.26
hidraulica,primavera,13,0.26
hidraulica,primavera,14,0.26
hidraulica,primavera,15,0.26
hidraulica,primavera,16,0.26
hidraulica,primavera,17,0.26
hidraulica,primavera,18,0.26
hidraulica,primavera,19,0.26
hidraulica,primavera,20,0.26
hidraulica,primavera,21,0.26
hidraulica,primavera,22,0.26
hidraulica,primavera,23,0.26
hidraulica,verano,0,0.17
hidraulica,verano,1,0.17
hidraulica,verano,2,0.17
hidraulica,verano,3,0.17
hidraulica,verano,4,0.17
hidraulica,verano,5,0.17
hidraulica,verano,6,0.17
hidraulica,verano,7,0.17
hidraulica,verano,8,0.17
hidraulica,verano,9,0.17
hidraulica,verano,10,0.17
hidraulica,verano,11,0.17
hidraulica,verano,12,0.17
hidraulica,verano,13,0.17
hidraulica,verano,14,0.17
hidraulica,verano,15,0.17
hidraulica,verano,16,0.17
hidraulica,verano,17,0.17
hidraulica,verano,18,0.17
hidraulica,verano,19,0.17
hidraulica,verano,20,0.17
hidraulica,verano,21,0.17
hidraulica,verano,22,0.17
hidraulica,verano,23,0.17
hidraulica,otono,0,0.26
hidraulica,otono,1,0.26
hidraulica,otono,2,0.26
hidraulica,otono,3,0.26
hidraulica,otono,4,0.26
hidraulica,otono,5,0.26
hidraulica,otono,6,0.26
hidraulica,otono,7,0.26
hidraulica,otono,8,0.26
hidraulica,otono,9,0.26
hidraulica,otono,10,0.26
hidraulica,otono,11,0.26
hidraulica,otono,12,0.26
hidraulica,otono,13,0.26
hidraulica,otono,14,0.26
hidraulica,otono,15,0.26
hidraulica,otono,16,0.26
hidraulica,otono,17,0.26
hidraulica,otono,18,0.26
hidraulica,otono,19,0.26
hidraulica,otono,20,0.26
hidraulica,otono,21,0.26
hidraulica,otono,22,0.26
hidraulica,otono,23,0.26
