anio,precio_co2,subv_max_anual
2024,75.0,1400000000.0
2025,80.0,1200000000.0
2026,85.0,1100000000.0
2027,85.0,1000000000.0
2028,85.0,900000000.0
2029,85.0,800000000.0
2030,85.0,700000000.0
2031,85.0,650000000.0
2032,85.0,600000000.0
2033,85.0,550000000.0
2034,85.0,500000000.0
2035,85.0,450000000.0
2036,85.0,400000000.0
2037,85.0,350000000.0
2038,85.0,300000000.0
2039,85.0,275000000.0
2040,85.0,250000000.0
2041,85.0,240000000.0
2042,85.0,230000000.0
2043,85.0,220000000.0
2044,85.0,210000000.0
2045,85.0,200000000.0
2046,85.0,180000000.0
2047,85.0,160000000.0
2048,85.0,140000000.0
2049,85.0,120000000.0
2050,85.0,100000000.0
